,,,,
,,,,
,,,,
,,,,
,,,,
,Compte Client,,Export des données de la courbe de charge,
,,,Données :,Brutes
,Point Référence Mesure (PRM) : ,25212879756250,Grandeur physique :,Puissance Active
,,,Type de comptage :,Puissance moyenne soutirée
,NA,Données indisponibles,Date de début :,01/11/2025
,,,Date de fin :,07/11/2025
,,,,
,,,,
,,,,
,,Plage horaire,,
,,Début,Fin,Valeur (en kW)
,,01/11/2025 00:00:00,01/11/2025 00:30:00,"0,79"
,,01/11/2025 00:30:00,01/11/2025 01:00:00,"0,79"
,,01/11/2025 01:00:00,01/11/2025 01:30:00,"0,78"
,,01/11/2025 01:30:00,01/11/2025 02:00:00,"0,78"
,,01/11/2025 02:00:00,01/11/2025 02:30:00,"0,78"
,,01/11/2025 02:30:00,01/11/2025 03:00:00,"0,78"
,,01/11/2025 03:00:00,01/11/2025 03:30:00,"0,78"
,,01/11/2025 03:30:00,01/11/2025 04:00:00,"0,77"
,,01/11/2025 04:00:00,01/11/2025 04:30:00,"0,79"
,,01/11/2025 04:30:00,01/11/2025 05:00:00,"0,78"
,,01/11/2025 05:00:00,01/11/2025 05:30:00,"0,78"
,,01/11/2025 05:30:00,01/11/2025 06:00:00,"0,78"
,,01/11/2025 06:00:00,01/11/2025 06:30:00,"0,77"
,,01/11/2025 06:30:00,01/11/2025 07:00:00,"0,78"
,,01/11/2025 07:00:00,01/11/2025 07:30:00,"0,78"
,,01/11/2025 07:30:00,01/11/2025 08:00:00,"0,78"
,,01/11/2025 08:00:00,01/11/2025 08:30:00,"0,78"
,,01/11/2025 08:30:00,01/11/2025 09:00:00,"0,78"
,,01/11/2025 09:00:00,01/11/2025 09:30:00,"0,78"
,,01/11/2025 09:30:00,01/11/2025 10:00:00,"0,79"
,,01/11/2025 10:00:00,01/11/2025 10:30:00,"0,79"
,,01/11/2025 10:30:00,01/11/2025 11:00:00,"0,79"
,,01/11/2025 11:00:00,01/11/2025 11:30:00,"0,80"
,,01/11/2025 11:30:00,01/11/2025 12:00:00,"0,81"
,,01/11/2025 12:00:00,01/11/2025 12:30:00,"0,81"
,,01/11/2025 12:30:00,01/11/2025 13:00:00,"0,81"
,,01/11/2025 13:00:00,01/11/2025 13:30:00,"0,81"
,,01/11/2025 13:30:00,01/11/2025 14:00:00,"0,80"
,,01/11/2025 14:00:00,01/11/2025 14:30:00,"0,81"
,,01/11/2025 14:30:00,01/11/2025 15:00:00,"0,81"
,,01/11/2025 15:00:00,01/11/2025 15:30:00,"0,81"
,,01/11/2025 15:30:00,01/11/2025 16:00:00,"0,80"
,,01/11/2025 16:00:00,01/11/2025 16:30:00,"0,81"
,,01/11/2025 16:30:00,01/11/2025 17:00:00,"0,80"
,,01/11/2025 17:00:00,01/11/2025 17:30:00,"0,81"
,,01/11/2025 17:30:00,01/11/2025 18:00:00,"0,81"
,,01/11/2025 18:00:00,01/11/2025 18:30:00,"0,80"
,,01/11/2025 18:30:00,01/11/2025 19:00:00,"0,80"
,,01/11/2025 19:00:00,01/11/2025 19:30:00,"0,80"
,,01/11/2025 19:30:00,01/11/2025 20:00:00,"0,81"
,,01/11/2025 20:00:00,01/11/2025 20:30:00,"0,80"
,,01/11/2025 20:30:00,01/11/2025 21:00:00,"0,80"
,,01/11/2025 21:00:00,01/11/2025 21:30:00,"0,80"
