,,,,
,,,,
,,,,
,,,,
,,,,
,Compte Client,,Export des données de la courbe de charge,
,,,Données :,Brutes
,Point Référence Mesure (PRM) : ,25214471652004,Grandeur physique :,Puissance Active
,,,Type de comptage :,Puissance moyenne soutirée
,NA,Données indisponibles,Date de début :,01/08/2025
,,,Date de fin :,08/08/2025
,,,,
,,,,
,,,,
,,Plage horaire,,
,,Début,Fin,Valeur (en kW)
,,01/08/2025 00:00:00,01/08/2025 00:30:00,"0,95"
,,01/08/2025 00:30:00,01/08/2025 01:00:00,"0,87"
,,01/08/2025 01:00:00,01/08/2025 01:30:00,"0,86"
,,01/08/2025 01:30:00,01/08/2025 02:00:00,"0,85"
,,01/08/2025 02:00:00,01/08/2025 02:30:00,"0,83"
,,01/08/2025 02:30:00,01/08/2025 03:00:00,"0,83"
,,01/08/2025 03:00:00,01/08/2025 03:30:00,"0,82"
,,01/08/2025 03:30:00,01/08/2025 04:00:00,"0,81"
,,01/08/2025 04:00:00,01/08/2025 04:30:00,"0,85"
,,01/08/2025 04:30:00,01/08/2025 05:00:00,"0,80"
,,01/08/2025 05:00:00,01/08/2025 05:30:00,"0,79"
,,01/08/2025 05:30:00,01/08/2025 06:00:00,"0,59"
,,01/08/2025 06:00:00,01/08/2025 06:30:00,"0,19"
,,01/08/2025 06:30:00,01/08/2025 07:00:00,"0,21"
,,01/08/2025 07:00:00,01/08/2025 07:30:00,"0,39"
,,01/08/2025 07:30:00,01/08/2025 08:00:00,"0,77"
,,01/08/2025 08:00:00,01/08/2025 08:30:00,"0,95"
,,01/08/2025 08:30:00,01/08/2025 09:00:00,"1,24"
,,01/08/2025 09:00:00,01/08/2025 09:30:00,"1,36"
,,01/08/2025 09:30:00,01/08/2025 10:00:00,"1,30"
,,01/08/2025 10:00:00,01/08/2025 10:30:00,"1,30"
,,01/08/2025 10:30:00,01/08/2025 11:00:00,"1,39"
,,01/08/2025 11:00:00,01/08/2025 11:30:00,"1,28"
,,01/08/2025 11:30:00,01/08/2025 12:00:00,"1,74"
,,01/08/2025 12:00:00,01/08/2025 12:30:00,"1,93"
,,01/08/2025 12:30:00,01/08/2025 13:00:00,"1,71"
,,01/08/2025 13:00:00,01/08/2025 13:30:00,"1,20"
,,01/08/2025 13:30:00,01/08/2025 14:00:00,"1,56"
,,01/08/2025 14:00:00,01/08/2025 14:30:00,"2,76"
,,01/08/2025 14:30:00,01/08/2025 15:00:00,"2,56"
,,01/08/2025 15:00:00,01/08/2025 15:30:00,"2,43"
,,01/08/2025 15:30:00,01/08/2025 16:00:00,"2,95"
,,01/08/2025 16:00:00,01/08/2025 16:30:00,"1,64"
,,01/08/2025 16:30:00,01/08/2025 17:00:00,"1,51"
,,01/08/2025 17:00:00,01/08/2025 17:30:00,"1,45"
,,01/08/2025 17:30:00,01/08/2025 18:00:00,"1,43"
,,01/08/2025 18:00:00,01/08/2025 18:30:00,"1,43"
,,01/08/2025 18:30:00,01/08/2025 19:00:00,"1,70"
,,01/08/2025 19:00:00,01/08/2025 19:30:00,"2,09"
,,01/08/2025 19:30:00,01/08/2025 20:00:00,"2,05"
,,01/08/2025 20:00:00,01/08/2025 20:30:00,"2,01"
,,01/08/2025 20:30:00,01/08/2025 21:00:00,"1,91"
,,01/08/2025 21:00:00,01/08/2025 21:30:00,"1,23"
,,01/08/2025 21:30:00,01/08/2025 22:00:00,"1,23"
,,01/08/2025 22:00:00,01/08/2025 22:30:00,"1,23"
,,01/08/2025 22:30:00,01/08/2025 23:00:00,"1,24"
,,01/08/2025 23:00:00,01/08/2025 23:30:00,"1,24"
,,01/08/2025 23:30:00,02/08/2025 00:00:00,"1,22"
,,02/08/2025 00:00:00,02/08/2025 00:30:00,"1,29"
,,02/08/2025 00:30:00,02/08/2025 01:00:00,"1,21"
,,02/08/2025 01:00:00,02/08/2025 01:30:00,"1,20"
,,02/08/2025 01:30:00,02/08/2025 02:00:00,"1,20"
,,02/08/2025 02:00:00,02/08/2025 02:30:00,"1,18"
,,02/08/2025 02:30:00,02/08/2025 03:00:00,"1,20"
,,02/08/2025 03:00:00,02/08/2025 03:30:00,"1,19"
,,02/08/2025 03:30:00,02/08/2025 04:00:00,"1,18"
,,02/08/2025 04:00:00,02/08/2025 04:30:00,"1,22"
,,02/08/2025 04:30:00,02/08/2025 05:00:00,"1,19"
,,02/08/2025 05:00:00,02/08/2025 05:30:00,"1,18"
,,02/08/2025 05:30:00,02/08/2025 06:00:00,"1,08"
,,02/08/2025 06:00:00,02/08/2025 06:30:00,"0,57"
,,02/08/2025 06:30:00,02/08/2025 07:00:00,"0,57"
,,02/08/2025 07:00:00,02/08/2025 07:30:00,"0,74"
,,02/08/2025 07:30:00,02/08/2025 08:00:00,"0,82"
,,02/08/2025 08:00:00,02/08/2025 08:30:00,"0,84"
,,02/08/2025 08:30:00,02/08/2025 09:00:00,"0,85"
,,02/08/2025 09:00:00,02/08/2025 09:30:00,"0,84"
,,02/08/2025 09:30:00,02/08/2025 10:00:00,"0,84"
,,02/08/2025 10:00:00,02/08/2025 10:30:00,"0,85"
,,02/08/2025 10:30:00,02/08/2025 11:00:00,"0,85"
,,02/08/2025 11:00:00,02/08/2025 11:30:00,"0,81"
,,02/08/2025 11:30:00,02/08/2025 12:00:00,"0,80"
,,02/08/2025 12:00:00,02/08/2025 12:30:00,"0,80"
,,02/08/2025 12:30:00,02/08/2025 13:00:00,"0,80"
,,02/08/2025 13:00:00,02/08/2025 13:30:00,"0,82"
,,02/08/2025 13:30:00,02/08/2025 14:00:00,"0,83"
,,02/08/2025 14:00:00,02/08/2025 14:30:00,"0,82"
,,02/08/2025 14:30:00,02/08/2025 15:00:00,"0,82"
,,02/08/2025 15:00:00,02/08/2025 15:30:00,"0,83"
,,02/08/2025 15:30:00,02/08/2025 16:00:00,"0,83"
,,02/08/2025 16:00:00,02/08/2025 16:30:00,"0,83"
,,02/08/2025 16:30:00,02/08/2025 17:00:00,"1,29"
,,02/08/2025 17:00:00,02/08/2025 17:30:00,"1,64"
,,02/08/2025 17:30:00,02/08/2025 18:00:00,"1,63"
,,02/08/2025 18:00:00,02/08/2025 18:30:00,"1,61"
,,02/08/2025 18:30:00,02/08/2025 19:00:00,"1,61"
,,02/08/2025 19:00:00,02/08/2025 19:30:00,"1,47"
,,02/08/2025 19:30:00,02/08/2025 20:00:00,"1,42"
,,02/08/2025 20:00:00,02/08/2025 20:30:00,"1,39"
,,02/08/2025 20:30:00,02/08/2025 21:00:00,"1,35"
,,02/08/2025 21:00:00,02/08/2025 21:30:00,"1,33"
,,02/08/2025 21:30:00,02/08/2025 22:00:00,"1,31"
,,02/08/2025 22:00:00,02/08/2025 22:30:00,"0,80"
,,02/08/2025 22:30:00,02/08/2025 23:00:00,"0,64"
,,02/08/2025 23:00:00,02/08/2025 23:30:00,"0,65"
,,02/08/2025 23:30:00,03/08/2025 00:00:00,"0,66"
,,03/08/2025 00:00:00,03/08/2025 00:30:00,"0,73"
,,03/08/2025 00:30:00,03/08/2025 01:00:00,"0,64"
,,03/08/2025 01:00:00,03/08/2025 01:30:00,"0,64"
,,03/08/2025 01:30:00,03/08/2025 02:00:00,"0,64"
,,03/08/2025 02:00:00,03/08/2025 02:30:00,"0,64"
,,03/08/2025 02:30:00,03/08/2025 03:00:00,"0,65"
,,03/08/2025 03:00:00,03/08/2025 03:30:00,"0,64"
,,03/08/2025 03:30:00,03/08/2025 04:00:00,"0,63"
,,03/08/2025 04:00:00,03/08/2025 04:30:00,"0,67"
,,03/08/2025 04:30:00,03/08/2025 05:00:00,"0,63"
,,03/08/2025 05:00:00,03/08/2025 05:30:00,"0,63"
,,03/08/2025 05:30:00,03/08/2025 06:00:00,"0,63"
,,03/08/2025 06:00:00,03/08/2025 06:30:00,"0,63"
,,03/08/2025 06:30:00,03/08/2025 07:00:00,"0,65"
,,03/08/2025 07:00:00,03/08/2025 07:30:00,"0,83"
,,03/08/2025 07:30:00,03/08/2025 08:00:00,"0,82"
,,03/08/2025 08:00:00,03/08/2025 08:30:00,"0,82"
,,03/08/2025 08:30:00,03/08/2025 09:00:00,"0,83"
,,03/08/2025 09:00:00,03/08/2025 09:30:00,"0,83"
,,03/08/2025 09:30:00,03/08/2025 10:00:00,"0,84"
,,03/08/2025 10:00:00,03/08/2025 10:30:00,"0,84"
,,03/08/2025 10:30:00,03/08/2025 11:00:00,"0,85"
,,03/08/2025 11:00:00,03/08/2025 11:30:00,"0,80"
,,03/08/2025 11:30:00,03/08/2025 12:00:00,"0,81"
,,03/08/2025 12:00:00,03/08/2025 12:30:00,"0,82"
,,03/08/2025 12:30:00,03/08/2025 13:00:00,"0,84"
,,03/08/2025 13:00:00,03/08/2025 13:30:00,"0,82"
,,03/08/2025 13:30:00,03/08/2025 14:00:00,"0,83"
,,03/08/2025 14:00:00,03/08/2025 14:30:00,"0,83"
,,03/08/2025 14:30:00,03/08/2025 15:00:00,"1,10"
,,03/08/2025 15:00:00,03/08/2025 15:30:00,"1,12"
,,03/08/2025 15:30:00,03/08/2025 16:00:00,"1,14"
,,03/08/2025 16:00:00,03/08/2025 16:30:00,"1,05"
,,03/08/2025 16:30:00,03/08/2025 17:00:00,"0,98"
,,03/08/2025 17:00:00,03/08/2025 17:30:00,"1,66"
,,03/08/2025 17:30:00,03/08/2025 18:00:00,"1,64"
,,03/08/2025 18:00:00,03/08/2025 18:30:00,"1,63"
,,03/08/2025 18:30:00,03/08/2025 19:00:00,"1,60"
,,03/08/2025 19:00:00,03/08/2025 19:30:00,"1,47"
,,03/08/2025 19:30:00,03/08/2025 20:00:00,"1,43"
,,03/08/2025 20:00:00,03/08/2025 20:30:00,"1,41"
,,03/08/2025 20:30:00,03/08/2025 21:00:00,"1,39"
,,03/08/2025 21:00:00,03/08/2025 21:30:00,"1,34"
,,03/08/2025 21:30:00,03/08/2025 22:00:00,"1,12"
,,03/08/2025 22:00:00,03/08/2025 22:30:00,"0,65"
,,03/08/2025 22:30:00,03/08/2025 23:00:00,"0,65"
,,03/08/2025 23:00:00,03/08/2025 23:30:00,"0,65"
,,03/08/2025 23:30:00,04/08/2025 00:00:00,"0,67"
,,04/08/2025 00:00:00,04/08/2025 00:30:00,"0,74"
,,04/08/2025 00:30:00,04/08/2025 01:00:00,"0,66"
,,04/08/2025 01:00:00,04/08/2025 01:30:00,"0,66"
,,04/08/2025 01:30:00,04/08/2025 02:00:00,"0,65"
,,04/08/2025 02:00:00,04/08/2025 02:30:00,"0,64"
,,04/08/2025 02:30:00,04/08/2025 03:00:00,"0,66"
,,04/08/2025 03:00:00,04/08/2025 03:30:00,"0,64"
,,04/08/2025 03:30:00,04/08/2025 04:00:00,"0,64"
,,04/08/2025 04:00:00,04/08/2025 04:30:00,"0,67"
,,04/08/2025 04:30:00,04/08/2025 05:00:00,"0,64"
,,04/08/2025 05:00:00,04/08/2025 05:30:00,"0,64"
,,04/08/2025 05:30:00,04/08/2025 06:00:00,"0,64"
,,04/08/2025 06:00:00,04/08/2025 06:30:00,"0,63"
,,04/08/2025 06:30:00,04/08/2025 07:00:00,"0,65"
,,04/08/2025 07:00:00,04/08/2025 07:30:00,"0,83"
,,04/08/2025 07:30:00,04/08/2025 08:00:00,"0,82"
,,04/08/2025 08:00:00,04/08/2025 08:30:00,"1,23"
,,04/08/2025 08:30:00,04/08/2025 09:00:00,"1,48"
,,04/08/2025 09:00:00,04/08/2025 09:30:00,"1,79"
,,04/08/2025 09:30:00,04/08/2025 10:00:00,"1,41"
,,04/08/2025 10:00:00,04/08/2025 10:30:00,"1,37"
,,04/08/2025 10:30:00,04/08/2025 11:00:00,"1,39"
,,04/08/2025 11:00:00,04/08/2025 11:30:00,"1,24"
,,04/08/2025 11:30:00,04/08/2025 12:00:00,"1,33"
,,04/08/2025 12:00:00,04/08/2025 12:30:00,"1,84"
,,04/08/2025 12:30:00,04/08/2025 13:00:00,"2,11"
,,04/08/2025 13:00:00,04/08/2025 13:30:00,"1,90"
